Spectrum Analyzer Data File	
4/28/2022 22:07	
	
Frequency (Hz)	 dB
0	-90.309
43.0664063	-52.580513
86.1328125	-27.98508
129.1992188	-43.762127
172.265625	-10.891083
215.3320313	-18.645088
258.3984375	-20.355911
301.4648438	-18.42823
344.53125	-23.97097
387.5976563	-24.743614
430.6640625	-24.095894
473.7304688	-20.776573
516.796875	-15.892349
559.8632813	-12.968666
602.9296875	-23.636559
645.9960938	-28.251705
689.0625	-20.183693
732.1289063	-16.627914
775.1953125	-24.604126
818.2617188	-21.002571
861.328125	-14.175964
904.3945313	-10.124107
947.4609375	-15.027222
990.5273438	-20.157143
1033.59375	-20.286346
1076.660156	-21.54023
1119.726563	-18.648636
1162.792969	-16.904678
1205.859375	-19.523201
1248.925781	-12.121109
1291.992188	-19.384552
1335.058594	-11.485947
1378.125	-25.804886
1421.191406	-21.173386
1464.257813	-21.731995
1507.324219	-27.176369
1550.390625	-21.166954
1593.457031	-31.62606
1636.523438	-19.084923
1679.589844	-33.733994
1722.65625	-15.045364
1765.722656	-24.382133
1808.789063	-11.772583
1851.855469	-23.031563
1894.921875	-15.489029
1937.988281	-13.620689
1981.054688	-13.569305
2024.121094	-18.015694
2067.1875	-23.108612
2110.253906	-10.9327545
2153.320313	-20.276321
2196.386719	-15.993134
2239.453125	-13.823219
2282.519531	-19.48854
2325.585938	-13.052513
2368.652344	-14.11367
2411.71875	-10.842522
2454.785156	-16.848953
2497.851563	-17.8246
2540.917969	-11.891144
2583.984375	-16.71762
2627.050781	-12.356125
2670.117188	-9.763527
2713.183594	-10.393379
2756.25	-19.514923
2799.316406	-19.812408
2842.382813	-10.651779
2885.449219	-18.004822
2928.515625	-16.131454
2971.582031	-12.010223
3014.648438	-16.534103
3057.714844	-17.186584
3100.78125	-11.8979645
3143.847656	-27.540363
3186.914063	-22.35807
3229.980469	-19.06691
3273.046875	-15.719627
3316.113281	-13.909134
3359.179688	-18.046417
3402.246094	-23.91861
3445.3125	-23.40606
