Spectrum Analyzer Data File
2022-04-28 22:37:30

Frequency (Hz), dB
0.0000000,-90.309
43.0664063,-40.67036
86.1328125,-28.973385
129.1992188,-20.660355
172.2656250,-13.236832
215.3320313,-12.4257965
258.3984375,-30.162952
301.4648438,-23.877953
344.5312500,-23.3042
387.5976563,-27.38467
430.6640625,-31.069427
473.7304688,-30.367954
516.7968750,-28.500092
559.8632813,-33.369423
602.9296875,-31.706623
645.9960938,-44.2106
689.0625000,-33.324814
732.1289063,-33.675877
775.1953125,-48.224495
818.2617188,-38.942917
861.3281250,-35.88679
904.3945313,-38.80737
947.4609375,-41.79791
990.5273438,-30.948029
1033.5937500,-41.93845
1076.6601563,-33.243866
1119.7265625,-40.248295
1162.7929688,-33.453373
1205.8593750,-44.16308
1248.9257813,-36.09067
1291.9921875,-36.47984
1335.0585938,-34.9468
1378.1250000,-28.269138
1421.1914063,-32.562077
1464.2578125,-38.20382
1507.3242188,-34.264927
1550.3906250,-37.892097
1593.4570313,-37.09597
1636.5234375,-33.800457
1679.5898438,-35.179733
1722.6562500,-40.234097
1765.7226563,-37.168995
1808.7890625,-30.966866
1851.8554688,-33.31156
1894.9218750,-28.637577
1937.9882813,-35.653275
1981.0546875,-26.409561
2024.1210938,-47.379898
2067.1875000,-32.65345
2110.2539063,-32.70743
2153.3203125,-27.009857
2196.3867188,-27.078514
2239.4531250,-29.284786
2282.5195313,-36.577106
2325.5859375,-35.10095
2368.6523438,-30.627842
2411.7187500,-17.95758
2454.7851563,-28.10455
2497.8515625,-27.931652
2540.9179688,-24.566536
2583.9843750,-21.496254
2627.0507813,-32.318558
2670.1171875,-28.322407
2713.1835938,-27.606316
2756.2500000,-26.24813
2799.3164063,-31.212986
2842.3828125,-27.559635
2885.4492188,-27.71082
2928.5156250,-34.218803
2971.5820313,-28.407635
3014.6484375,-33.044407
3057.7148438,-31.399601
3100.7812500,-36.273834
3143.8476563,-25.22995
3186.9140625,-34.92844
3229.9804688,-29.980164
3273.0468750,-34.050835
3316.1132813,-31.065231
3359.1796875,-59.435123
3402.2460938,-31.042034
3445.3125000,-33.30941
3488.3789063,-33.035255
3531.4453125,-51.70638
3574.5117188,-32.01965
3617.5781250,-31.035126
3660.6445313,-37.200516
3703.7109375,-30.410542
3746.7773438,-35.415512
3789.8437500,-32.29193
3832.9101563,-35.67756
3875.9765625,-37.55752
3919.0429688,-27.768814
3962.1093750,-36.27486
4005.1757813,-32.005787
4048.2421875,-28.408127
4091.3085938,-31.362785
4134.3750000,-34.194122
4177.4414063,-36.71913
4220.5078125,-32.0367
4263.5742188,-41.268394
4306.6406250,-34.02327
4349.7070313,-53.889965
4392.7734375,-34.063282
4435.8398438,-45.593327
4478.9062500,-34.934853
4521.9726563,-43.81881
4565.0390625,-43.453506
4608.1054688,-30.253735
4651.1718750,-30.539654
4694.2382813,-31.355263
4737.3046875,-32.92667
4780.3710938,-42.31418
4823.4375000,-34.240482
4866.5039063,-38.822517
4909.5703125,-32.623383
4952.6367188,-37.197205
4995.7031250,-39.087177
5038.7695313,-39.432148
5081.8359375,-32.35718
5124.9023438,-35.23214
5167.9687500,-31.462257
5211.0351563,-32.301476
5254.1015625,-38.755665
5297.1679688,-31.057076
5340.2343750,-35.022076
5383.3007813,-30.935368
5426.3671875,-34.3241
5469.4335938,-49.259823
5512.5000000,-26.255005
5555.5664063,-38.48819
5598.6328125,-28.655697
5641.6992188,-40.539795
5684.7656250,-29.179409
5727.8320313,-38.13269
5770.8984375,-29.648586
5813.9648438,-31.301884
5857.0312500,-39.514095
5900.0976563,-29.123837
5943.1640625,-31.727718
5986.2304688,-35.907043
6029.2968750,-27.235218
6072.3632813,-30.223751
6115.4296875,-26.94928
6158.4960938,-38.920624
6201.5625000,-35.176464
6244.6289063,-31.589329
6287.6953125,-23.18943
6330.7617188,-26.125122
6373.8281250,-31.178722
6416.8945313,-23.62297
6459.9609375,-32.08451
6503.0273438,-23.586334
6546.0937500,-23.436676
6589.1601563,-21.46769
6632.2265625,-24.000862
6675.2929688,-37.08004
6718.3593750,-23.90065
6761.4257813,-22.8788
6804.4921875,-25.477722
6847.5585938,-34.150585
6890.6250000,-32.825024
6933.6914063,-25.163765
6976.7578125,-21.165817
7019.8242188,-21.896393
7062.8906250,-22.849487
7105.9570313,-31.481533
7149.0234375,-19.75328
7192.0898438,-23.927391
7235.1562500,-32.275406
7278.2226563,-21.49041
7321.2890625,-22.265877
7364.3554688,-30.287506
7407.4218750,-40.344048
7450.4882813,-24.49881
7493.5546875,-24.32637
7536.6210938,-24.284943
7579.6875000,-30.200817
7622.7539063,-32.37115
7665.8203125,-24.98507
7708.8867188,-27.588902
7751.9531250,-30.408794
7795.0195313,-26.140244
7838.0859375,-30.130337
7881.1523438,-42.35453
7924.2187500,-27.655369
7967.2851563,-27.71783
8010.3515625,-35.474236
8053.4179688,-27.670193
8096.4843750,-38.234512
8139.5507813,-31.340302
8182.6171875,-29.922302
8225.6835938,-31.107521
8268.7500000,-52.176636
8311.8164063,-29.153774
8354.8828125,-29.00998
8397.9492188,-32.91275
8441.0156250,-34.12931
8484.0820313,-34.22286
8527.1484375,-41.05383
8570.2148438,-38.734993
8613.2812500,-40.438477
8656.3476563,-30.93906
8699.4140625,-34.70282
8742.4804688,-38.203735
8785.5468750,-39.926476
8828.6132813,-32.010296
8871.6796875,-42.866135
8914.7460938,-40.690464
8957.8125000,-50.767372
9000.8789063,-39.920097
9043.9453125,-35.82673
9087.0117188,-41.585205
9130.0781250,-34.946148
9173.1445313,-39.775948
9216.2109375,-45.53874
9259.2773438,-37.202362
9302.3437500,-36.710865
9345.4101563,-39.184032
9388.4765625,-46.204723
9431.5429688,-44.532116
9474.6093750,-38.191628
9517.6757813,-52.42424
9560.7421875,-40.10603
9603.8085938,-43.599457
9646.8750000,-48.105747
9689.9414063,-49.84579
9733.0078125,-47.081657
9776.0742188,-41.474533
9819.1406250,-42.5626
9862.2070313,-48.601826
9905.2734375,-46.718224
9948.3398438,-53.326992
9991.4062500,-43.451145
10034.4726563,-49.61482
10077.5390625,-43.134182
10120.6054688,-49.98425
10163.6718750,-50.445374
10206.7382813,-55.703518
10249.8046875,-43.185112
10292.8710938,-48.636242
10335.9375000,-45.09827
10379.0039063,-48.151165
10422.0703125,-45.49375
10465.1367188,-49.237766
10508.2031250,-52.985794
10551.2695313,-49.303513
10594.3359375,-43.9395
10637.4023438,-45.002556
10680.4687500,-49.504585
10723.5351563,-44.109478
10766.6015625,-47.460506
10809.6679688,-56.596413
10852.7343750,-49.64947
10895.8007813,-58.135822
10938.8671875,-46.169823
10981.9335938,-57.00049
11025.0000000,-49.64527
11068.0664063,-58.950172
11111.1328125,-45.508442
11154.1992188,-41.68641
11197.2656250,-50.414276
11240.3320313,-43.708
11283.3984375,-52.248753
11326.4648438,-43.104893
11369.5312500,-41.26569
11412.5976563,-48.81276
11455.6640625,-51.477814
11498.7304688,-46.35666
11541.7968750,-59.398476
11584.8632813,-52.456974
11627.9296875,-44.83115
11670.9960938,-49.595787
11714.0625000,-47.773697
11757.1289063,-69.25128
11800.1953125,-52.360264
11843.2617188,-64.40822
11886.3281250,-46.56456
11929.3945313,-48.65317
11972.4609375,-55.035828
12015.5273438,-48.4591
12058.5937500,-64.38969
12101.6601563,-50.676464
12144.7265625,-51.79891
12187.7929688,-47.542248
12230.8593750,-46.50639
